date,plot,rate,quadrat,canopy_percent,canopy_ratio,block,strip
12april22,301E,3,B_no_weeds,42.69,0.4269,3,1
12april22,301L,3,B_no_weeds,39.3,0.393,3,1
12april22,302E,1.5,B_no_weeds,24.79,0.2479,3,2
12april22,302L,1.5,B_no_weeds,32.64,0.3264,3,2
12april22,303E,0,B_no_weeds,10.08,0.1008,3,3
12april22,303L,0,B_no_weeds,5.43,0.0543,3,3
12april22,401E,0,B_no_weeds,21.69,0.2169,4,1
12april22,401L,0,B_no_weeds,22.39,0.2239,4,1
12april22,402E,3,B_no_weeds,19.06,0.1906,4,2
12april22,402L,3,B_no_weeds,28.46,0.2846,4,2
12april22,403E,1.5,B_no_weeds,24.88,0.2488,4,3
12april22,403L,1.5,B_no_weeds,31.95,0.3195,4,3
12april22,501E,3,B_no_weeds,36.23,0.3623,5,1
12april22,501L,3,B_no_weeds,59.92,0.5992,5,1
12april22,502E,0,B_no_weeds,20.27,0.2027,5,2
12april22,502L,0,B_no_weeds,15.42,0.1542,5,2
12april22,503E,1.5,B_no_weeds,28.74,0.2874,5,3
12april22,503L,1.5,B_no_weeds,33.67,0.3367,5,3
12april22,101E,1.5,B_weedy,60.45,0.6045,1,1
12april22,101L,1.5,B_weedy,46.52,0.4652,1,1
12april22,102E,0,B_weedy,25.91,0.2591,1,2
12april22,102L,0,B_weedy,19.44,0.1944,1,2
12april22,103E,3,B_weedy,66,0.66,1,3
12april22,103L,3,B_weedy,50.04,0.5004,1,3
12april22,201E,0,B_weedy,23.33,0.2333,2,1
12april22,201L,0,B_weedy,35.26,0.3526,2,1
12april22,202E,1.5,B_weedy,22.11,0.2211,2,2
12april22,202L,1.5,B_weedy,41.34,0.4134,2,2
12april22,203E,3,B_weedy,23.54,0.2354,2,3
12april22,203L,3,B_weedy,25.7,0.257,2,3
12april22,301E,3,B_weedy,51.8,0.518,3,1
12april22,301L,3,B_weedy,41.04,0.4104,3,1
12april22,302E,1.5,B_weedy,33.66,0.3366,3,2
12april22,303E,0,B_weedy,10.73,0.1073,3,3
12april22,303L,0,B_weedy,4.95,0.0495,3,3
12april22,401E,0,B_weedy,21.51,0.2151,4,1
12april22,401L,0,B_weedy,26.89,0.2689,4,1
12april22,402E,3,B_weedy,21.52,0.2152,4,2
12april22,402L,3,B_weedy,34.54,0.3454,4,2
12april22,403E,1.5,B_weedy,26.39,0.2639,4,3
12april22,403L,1.5,B_weedy,35.84,0.3584,4,3
12april22,501E,3,B_weedy,44.25,0.4425,5,1
12april22,501L,3,B_weedy,67.33,0.6733,5,1
12april22,502E,0,B_weedy,19.47,0.1947,5,2
12april22,502L,0,B_weedy,15.45,0.1545,5,2
12april22,503E,1.5,B_weedy,35.64,0.3564,5,3
12april22,503L,1.5,B_weedy,40.97,0.4097,5,3
12april22,101E,1.5,B_no_rye_calc,8.47,0.0847,1,1
12april22,101L,1.5,B_no_rye_calc,7.37,0.0737,1,1
12april22,102E,0,B_no_rye_calc,1.34,0.0134,1,2
12april22,102L,0,B_no_rye_calc,-0.04,-0.0004,1,2
12april22,103E,3,B_no_rye_calc,6.82,0.0682,1,3
12april22,103L,3,B_no_rye_calc,4.89,0.0489,1,3
12april22,201E,0,B_no_rye_calc,0.87,0.0087,2,1
12april22,201L,0,B_no_rye_calc,2.02,0.0202,2,1
12april22,202E,1.5,B_no_rye_calc,-1.86,-0.0186,2,2
12april22,202L,1.5,B_no_rye_calc,2.15,0.0215,2,2
12april22,203E,3,B_no_rye_calc,0.39,0.0039,2,3
12april22,203L,3,B_no_rye_calc,0.41,0.0041,2,3
12april22,301E,3,B_no_rye_calc,9.11,0.0911,3,1
12april22,301L,3,B_no_rye_calc,1.74,0.0174,3,1
12april22,302E,1.5,B_no_rye_calc,8.87,0.0887,3,2
12april22,303E,0,B_no_rye_calc,0.65,0.0065,3,3
12april22,303L,0,B_no_rye_calc,-0.48,-0.0048,3,3
12april22,401E,0,B_no_rye_calc,-0.18,-0.0018,4,1
12april22,401L,0,B_no_rye_calc,4.5,0.045,4,1
12april22,402E,3,B_no_rye_calc,2.46,0.0246,4,2
12april22,402L,3,B_no_rye_calc,6.08,0.0608,4,2
12april22,403E,1.5,B_no_rye_calc,1.51,0.0151,4,3
12april22,403L,1.5,B_no_rye_calc,3.89,0.0389,4,3
12april22,501E,3,B_no_rye_calc,8.02,0.0802,5,1
12april22,501L,3,B_no_rye_calc,7.41,0.0741,5,1
12april22,502E,0,B_no_rye_calc,-0.8,-0.008,5,2
12april22,502L,0,B_no_rye_calc,0.03,0.0003,5,2
12april22,503E,1.5,B_no_rye_calc,6.9,0.069,5,3
12april22,503L,1.5,B_no_rye_calc,7.3,0.073,5,3
