plot,PD,rate,block,strip,rye_biomass_0.25m,rye_bio,STEME_bio,ERPVE_bio,LAMAM_bio,VERPG_bio,VERAR_bio,CARHI_bio,LAMPU_bio,SETFA_bio,CERVU_bio,VIOAR_bio,TAROF_bio,TRZAX_bio,AMBEL_bio,THLAR_bio,weed_bio_0.25m,weed_bio_KgHA,rye_biomass_0.125m,rye_bio_phen,sp_can_A,sp_can_B_noweeds,sp_can_B_weedy,sp_can_B_weeds,STEME_N,ERPVE_N,CERVU_N,VIOAR_N,CARHI_N,LAMAM_N,VERAR_N,LAMPU_N,THLPE_N,VERSE_N,unknown_rosette_N,tillers_n,soybean_tot,soybean_ac,rye_seedlings_B,fall_can_B,fall_can_A,SETFA,AMBEL,SETVI,SECCE,OXAST,VIOAR,VERAR,SOPT7,LOBIN,SETPU,DIGIS,CHEAL,ERICA,DIGSA,EPHMA,TRFRE,POLPE,CYPES,PRTQU,TAROF,PLAMA,XANST,ANGAR,MEDLU,peak_bio,peak_bio_kg,setfa.n,ambel.n,setvi.n,secce.n,oxast.n,vioar.n,verar.n,spo7.n,lobin.n,setpu.n,digis.n,cheal.n,erica.n,digsa.n,ephma.n,trfre.n,polpe.n,cypes.n,prtqu.n,taror.n,plama.n,xanst.n,angar.n,medlu.n,setfa.indiv,ambel.indiv,setvi.indiv,secce.indiv,ooxast.indiv,vioar.indiv,verar.indiv,spot7.indiv,lobin.indiv,setpu.indiv,digis.indiv,cheal.indiv,erica.indiv,digsa.indiv,ephma.indiv,trfre.indiv,polpe.indiv,cypes.indiv,prtqu.indiv,tarof.indiv,plama.indiv,xanst.indiv,angar.indiv,medlu.indiv,seeds.n,seedhead.n,seedhead.wt,seedhead.avg.wt,seed.per.head
203E,Early,3,2,3,79.3,3172,0.862,0.208,0.063,0.142,0,0.114,0,0,0,0,0.026,0,0.002,0,1.417,56.68,23.2,1856,0.231,0.2315,0.2354,0.0039,2,4,0,0,4,1,0,0,0,0,0,16,170,170000,129,0.0602,0.0635,35.10,18.30,0.00,7.57,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.08,1221.64,140,14,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.251,1.307,NA,0.379,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,19,2.401,0.126368421,7.789473684
203L,Late,3,2,3,97.6,3904,0.242,0,0,0.09,0,0,0.17,0,0,0,0,0,0,0,0.502,20.08,80.8,6464,0.2722,0.2529,0.257,0.0041,10,2,0,0,3,0,0,0,0,0,0,18,166,166000,163,0.0868,0.0432,20.67,20.53,0.51,1.16,0.24,0.00,0.00,0.00,0.00,0.12,0.00,0.02,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.07,921.34,102,15,5,4,2,0,0,0,0,1,0,1,0,0,0,4,0,0,0.00,0,0,0,0,0,0.203,1.369,0.103,0.290,0.118,NA,NA,NA,NA,0.118,NA,0.016,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,125,25,2.736,0.10944,5
301E,Early,3,3,1,129.7,5188,1.9,0,0,0.042,0.128,0,0,0,0,0,0,0,0,0,2.07,82.8,49.9,3992,0.4026,0.4269,0.518,0.0911,44,14,0,0,2,0,0,1,0,0,0,13,171,171000,174,0.201,0.1406,30.14,11.34,0.15,5.95,0.24,0.12,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.36,967.10,110,14,1,18,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.274,0.810,0.154,0.331,0.119,0.115,NA,NA,NA,0.210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,21,1.848,0.088,3.666666667
301L,Late,3,3,1,136.2,5448,1.993,0.059,0,0.042,0.051,0,0,0,0,0,0,0,0,0,2.145,85.8,35.7,2856,0.4407,0.393,0.4104,0.0174,44,28,0,0,0,0,2,0,0,0,0,22,180,180000,171,0.2364,0.251,47.50,19.20,1.60,6.20,0.23,0.00,0.04,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.69,1513.86,96,16,11,19,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.495,1.200,0.145,0.326,0.075,NA,0.014,NA,NA,0.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,28,4.235,0.15125,9.892857143
302E,Early,1.5,3,2,85.5,3420,3.065,0,0.098,0,0.461,0,0,0,0,0,0,0,0,0,3.624,144.96,38.2,3056,0.3993,0.2479,0.3366,0.0887,65,5,0,0,5,2,3,2,0,0,0,16,136,136000,168,0.0986,0.0952,30.28,1.47,0.76,2.05,0.03,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.78,695.66,123,2,5,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.246,0.735,0.151,0.228,0.017,NA,NA,NA,NA,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,17,1.757,0.103352941,8.588235294
302L,Late,1.5,3,2,106.9,4276,3.136,0.029,0,0.066,0.407,0.44,0,0,0,0.037,0,0,0,0,4.115,164.6,35.4,2832,0.4142,0.3264,na,na,43,2,0,0,3,3,0,0,0,0,0,13,152,152000,151,0.0854,0.1041,57.89,13.59,5.93,0.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.82,1556.46,241,4,28,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.240,3.398,0.212,0.013,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,21,3.046,0.145047619,9.333333333
303E,Early,0,3,3,39.8,1592,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0.068,2.72,20.6,1648,0.1075,0.1008,0.1073,0.0065,45,5,0,0,1,0,0,0,0,0,0,61,192,192000,161,0.0421,0.021,13.38,4.49,0.17,0.85,0.39,0.05,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.51,390.14,53,6,3,7,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0.252,0.748,0.056,0.121,NA,0.023,NA,NA,NA,0.090,NA,NA,NA,NA,0.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,52,8.285,0.159326923,9.923076923
303L,Late,0,3,3,46,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0.000001,22.9,1832,0.0926,0.0543,0.0495,-0.0048,2,0,0,0,0,0,0,0,0,0,0,44,169,169000,168,0.0228,0.0321,28.40,9.20,2.80,23.40,0.43,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.53,1290.66,74,11,7,76,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.384,0.836,0.400,0.308,0.085,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,53,9.425,0.177830189,10.98113208
401E,Early,0,4,1,90.4,3616,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,7.84,33.5,2680,0.2452,0.2169,0.2151,-0.0018,14,3,0,0,0,0,0,0,0,0,0,22,171,171000,165,0.0714,0.0844,39.50,8.40,0.06,2.20,0.00,0.00,0.00,0.00,0.00,1.80,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,53.82,1076.32,135,12,1,7,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0.00,0,0,0,0,5,0.293,0.700,0.057,0.314,NA,NA,NA,NA,NA,0.100,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358,293,39,4.048,0.103794872,7.512820513
401L,Late,0,4,1,95.8,3832,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553,22.12,23,1840,0.2689,0.2239,0.2689,0.0450,12,8,0,0,0,0,0,0,0,0,0,27,176,176000,158,0.0766,0.0556,44.10,12.60,0.39,20.70,0.07,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.06,1621.14,231,19,6,74,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.191,0.663,0.065,0.280,0.017,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,32,3.853,0.12040625,7
402E,Early,3,4,2,61.8,2472,2.476,0,0,0,0.097,0,0,0,0,0,0,0,0,0,2.573,102.92,17.7,1416,0.2427,0.1906,0.2152,0.0246,19,0,0,0,3,0,0,0,0,1,0,19,166,166000,118,0.0183,0.0493,45.70,2.60,0.78,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.54,1010.72,166,5,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.275,0.520,0.155,0.233,NA,NA,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,22,4.107,0.186681818,10.40909091
402L,Late,3,4,2,103.2,4128,3.227,0.04,0,0,0.173,0.015,0,0,0,0,0,0,0,0.049,3.504,140.16,47.4,3792,0.3624,0.2846,0.3454,0.0608,27,2,0,0,2,3,5,0,0,0,0,26,170,170000,123,0.0291,0.0353,49.00,1.80,2.10,4.70,0.10,0.06,0.22,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.05,1160.98,141,3,9,14,2,1,3,0,0,1,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.348,0.600,0.233,0.336,0.049,0.059,0.073,NA,NA,0.039,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,30,3.417,0.1139,7.9
403E,Early,1.5,4,3,84,3360,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,9.84,38.8,3104,0.2898,0.2488,0.2639,0.0151,19,15,0,0,6,0,1,0,0,0,0,21,179,179000,169,0.0758,0.1186,32.80,9.00,0.83,6.00,0.32,0.00,0.00,0.00,0.00,0.34,0.15,0.00,0.12,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,49.59,991.82,141,12,3,22,5,0,0,0,0,2,0,0,1,4,0,0,1,0,0.00,0,0,1,0,0,0.233,0.750,0.276,0.273,0.065,NA,NA,NA,NA,0.170,NA,NA,0.116,NA,NA,NA,0.017,NA,NA,NA,NA,0.022,NA,NA,275,24,4.128,0.172,11.45833333
403L,Late,1.5,4,3,119.7,4788,3.214,0.115,0,0.502,0.059,0.314,0.129,0.009,0,0,0.017,0,0,0,4.359,174.36,41.3,3304,0.3429,0.3195,0.3584,0.0389,11,6,0,0,3,0,2,0,0,0,1,14,198,198000,124,0.1336,0.1304,31.10,27.00,0.89,3.30,0.36,0.00,0.08,0.00,0.05,0.58,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,63.68,1273.56,119,20,4,18,5,0,2,0,1,3,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.261,1.350,0.223,0.183,0.073,NA,0.039,NA,0.049,0.192,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,20,2.308,0.1154,7.9
501E,Early,3,5,1,160.8,6432,0.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,35.08,59.2,4736,0.5233,0.3623,0.4425,0.0802,27,21,0,0,2,0,2,0,0,0,0,47,89,89000,173,0.2281,0.2217,24.90,23.90,0.00,19.20,0.00,0.00,0.00,0.00,0.00,0.54,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.59,1371.86,114,9,0,57,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.218,2.656,NA,0.337,NA,NA,NA,NA,NA,0.179,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,62,9.392,0.151483871,9.580645161
501L,Late,3,5,1,225,9000,1.705,0.078,0.066,0,0,0.117,0,0.009,0,0,0,0,0,0,1.975,79,119.1,9528,0.6619,0.5992,0.6733,0.0741,45,13,0,0,4,1,0,0,0,0,0,22,143,143000,161,0.214,0.1636,38.80,0.00,0.00,4.70,0.09,0.00,0.04,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,46.19,923.80,148,0,0,20,2,0,2,0,0,12,0,0,0,0,0,0,0,3,0.00,0,0,0,0,0,0.262,NA,NA,0.235,0.044,NA,0.020,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA,280,25,4.551,0.18204,11.2
502E,Early,0,5,2,78.5,3140,0.042,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0.074,2.96,26.5,2120,0.1887,0.2027,0.1947,-0.0080,6,11,0,0,2,0,0,0,0,0,0,20,182,182000,144,0.0105,0.035,33.80,1.80,0.21,9.90,0.00,0.02,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.27,925.40,303,6,2,37,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.112,0.300,0.104,0.268,NA,0.018,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,20,1.962,0.0981,4.8
502L,Late,0,5,2,66.2,2648,0.544,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.724,28.96,30.9,2472,0.1204,0.1542,0.1545,0.0003,6,10,0,0,2,0,0,0,0,0,0,18,191,191000,156,0.0104,0.0147,27.27,4.81,0.55,3.25,0.01,0.00,0.00,0.00,0.00,0.38,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.49,729.78,258,12,8,16,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.106,0.401,0.069,0.203,0.007,NA,NA,NA,NA,0.054,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,26,2.515,0.096730769,5.692307692
503E,Early,1.5,5,3,144.4,5776,2.878,0.151,0,0,0.136,0,0,0,0.028,0,0,0,0,0,3.193,127.72,35.8,2864,0.4673,0.2874,0.3564,0.0690,31,83,0,0,0,2,0,0,0,0,0,16,174,174000,150,0.1912,0.0925,39.20,10.00,0.23,4.90,0.02,0.00,0.00,0.00,0.00,1.10,0.18,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.68,1113.60,200,15,3,25,1,0,0,0,0,12,2,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0.196,0.667,0.077,0.196,0.023,NA,NA,NA,NA,0.092,0.091,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,19,1.816,0.095578947,5.631578947
503L,Late,1.5,5,3,106.1,4244,0.977,0.8,0.016,0.101,0.174,0,0,0,0,0.314,0,0,0,0,2.382,95.28,54.1,4328,0.3856,0.3367,0.4097,0.0730,45,75,0,0,5,0,1,0,0,0,0,14,173,173000,161,0.1994,0.1774,31.30,16.20,0.76,2.60,0.16,0.07,0.00,0.00,0.00,2.40,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,54.68,1093.62,151,17,6,12,3,1,0,0,0,9,5,0,0,0,0,0,0,0,0.00,1,1,0,0,0,0.207,0.953,0.126,0.217,0.054,0.066,NA,NA,NA,0.267,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0.023,NA,NA,NA,164,20,3.097,0.15485,8.2
